1542171600000,Min,NO
1542171600000,OKC,NY
1542171600000,Dal,Uta
1542171600000,Pho,SA
1542171600000,LAL,Por
1542258000000,Hou,GS
1542258000000,Den,Atl
1542258000000,LAC,SA
1542344400000,Bos,Tor
1542344400000,Ind,Mia
1542344400000,Phi,Uta
1542344400000,Was,Bkn
1542344400000,Mem,Sac
1542344400000,Min,Por
1542344400000,NO,NY
1542344400000,Mil,Chi
1542430800000,Bkn,LAC
1542430800000,Cha,Phi
1542430800000,Ind,Atl
1542430800000,Orl,LAL
1542430800000,NO,Den
1542430800000,Bos,Uta
1542430800000,Chi,Tor
1542430800000,Hou,Sac
1542430800000,Dal,GS
1542430800000,Pho,OKC
1542517200000,Min,Mem
1542517200000,Mia,LAL
1542517200000,Orl,NY
1542517200000,Was,Por
1542517200000,SA,GS
1542603600000,Cha,Bos
1542603600000,Det,Cle
1542603600000,Ind,Uta
1542603600000,Phi,Pho
1542603600000,Atl,LAC
1542603600000,Mem,Dal
1542603600000,Mil,Den
1542603600000,NO,SA
1542603600000,Sac,OKC
1542690000000,Orl,Tor
1542690000000,Was,LAC
1542690000000,Mia,Bkn
1542690000000,NY,Por
1542776400000,Cha,Ind
1542776400000,Phi,NO
1542776400000,Atl,Tor
1542776400000,Bos,NY
1542776400000,Cle,LAL
1542776400000,Chi,Pho
1542776400000,Hou,Det
1542776400000,Mil,Por
1542776400000,Min,Den
1542776400000,Dal,Bkn
1542776400000,SA,Mem
1542776400000,Uta,Sac
1542776400000,GS,OKC
1542949200000,Bkn,Min
1542949200000,LAC,Mem
1542949200000,Det,Hou
1542949200000,Atl,Bos
1542949200000,NY,NO
1542949200000,Phi,Cle
1542949200000,Tor,Was
1542949200000,Ind,SA
1542949200000,Chi,Mia
1542949200000,OKC,Cha
1542949200000,Mil,Pho
1542949200000,Den,Orl
1542949200000,GS,Por
1542949200000,LAL,Uta
1543035600000,Cle,Hou
1543035600000,Was,NO
1543035600000,Min,Chi
1543035600000,OKC,Den
1543035600000,Dal,Bos
1543035600000,Mil,SA
1543035600000,GS,Sac
1543122000000,LAL,Orl
1543122000000,Det,Pho
1543122000000,Atl,Cha
1543122000000,Bkn,Phi
1543122000000,Tor,Mia
1543122000000,Mem,NY
1543122000000,Sac,Uta
1543122000000,Por,LAC
1543208400000,Cha,Mil
1543208400000,Cle,Min
1543208400000,Was,Hou
1543208400000,Chi,SA
1543208400000,NO,Bos
1543208400000,Uta,Ind
1543208400000,GS,Orl
1543294800000,Det,NY
1543294800000,Mia,Atl
1543294800000,Mem,Tor
1543294800000,Den,LAL
1543294800000,Pho,Ind
1543381200000,Cha,Atl
1543381200000,Phi,NY
1543381200000,Bkn,Uta
1543381200000,Hou,Dal
1543381200000,Mil,Chi
1543381200000,Min,SA
1543381200000,NO,Was
1543381200000,OKC,Cle
1543381200000,Por,Orl
1543381200000,LAC,Pho
1543467600000,Tor,GS
1543467600000,LAL,Ind
1543467600000,Sac,LAC
1543554000000,Bos,Cle
1543554000000,Cha,Uta
1543554000000,Det,Chi
1543554000000,Phi,Was
1543554000000,Bkn,Mem
1543554000000,Mia,NO
1543554000000,OKC,Atl
1543554000000,SA,Hou
1543554000000,Pho,Orl
1543554000000,LAL,Dal
1543554000000,Por,Den
1543640400000,NY,Mil
1543640400000,Det,GS
1543640400000,Was,Bkn
1543640400000,Cle,Tor
1543640400000,Hou,Chi
1543640400000,Min,Bos
1543640400000,Sac,Ind
1543726800000,LAL,Pho
1543726800000,Cha,NO
1543726800000,Mia,Uta
1543726800000,Phi,Mem
1543726800000,Dal,LAC
1543726800000,SA,Por
1543813200000,Det,OKC
1543813200000,Atl,GS
1543813200000,Bkn,Cle
1543813200000,NY,Was
1543813200000,Tor,Den
1543813200000,Min,Hou
1543813200000,NO,LAC
1543899600000,Ind,Chi
1543899600000,Mia,Orl
1543899600000,Dal,Por
1543899600000,Pho,Sac
1543899600000,Uta,SA
1543986000000,Cle,GS
1543986000000,Orl,Den
1543986000000,Atl,Was
1543986000000,Bkn,OKC
1543986000000,Tor,Phi
1543986000000,Mem,LAC
1543986000000,Mil,Det
1543986000000,Min,Cha
1543986000000,NO,Dal
1543986000000,LAL,SA
1544072400000,Bos,NY
1544072400000,Por,Pho
1544072400000,Uta,Hou
